"filename", "language", "JSON", "Dotenv", "Log", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\minecraft-bot\integrations\telegram.js", "JavaScript", 0, 0, 0, 0, 356, 36, 50, 442
"c:\minecraft-bot\integrations\telegramAutoCraft.js", "JavaScript", 0, 0, 0, 0, 469, 52, 48, 569
"c:\minecraft-bot\logs\combat-2025-11-09.log", "Log", 0, 0, 0, 0, 0, 0, 1, 1
"c:\minecraft-bot\logs\core.bot-2025-11-09.log", "Log", 0, 0, 39, 0, 0, 0, 1, 40
"c:\minecraft-bot\logs\miner-2025-11-09.log", "Log", 0, 0, 0, 0, 0, 0, 1, 1
"c:\minecraft-bot\logs\session_2025-11-09T09-36-26-882Z.log", "Log", 0, 0, 6, 0, 0, 0, 1, 7
"c:\minecraft-bot\logs\session_2025-11-09T11-46-48-684Z.log", "Log", 0, 0, 6, 0, 0, 0, 1, 7
"c:\minecraft-bot\logs\telemetry-2025-11-09.log", "Log", 0, 0, 22, 0, 0, 0, 1, 23
"c:\minecraft-bot\package-lock.json", "JSON", 4676, 0, 0, 0, 0, 0, 1, 4677
"c:\minecraft-bot\package.json", "JSON", 54, 0, 0, 0, 0, 0, 1, 55
"c:\minecraft-bot\temp.env", "Dotenv", 0, 43, 0, 0, 0, 27, 10, 80
"Total", "-", 4975, 91, 73, 323, 16236, 2677, 2614, 26989
